"id","codigo","create_uid/id","create_date","descripcion","descripcion_abrev","write_uid/id","write_date"
"__export__.planilla_situacion_1","1","base.user_root","2019-06-25 23:54:04","ACTIVO O SUBSIDIADO","ACTIVO O SUBSIDIADO","base.user_root","2019-06-25 23:54:04"
"__export__.planilla_situacion_2","0","base.user_root","2019-06-25 23:54:04","BAJA","BAJA","base.user_root","2019-06-25 23:54:04"
"__export__.planilla_situacion_3","2","base.user_root","2019-06-25 23:54:04","SIN VÍNCULO LABORAL CON CONCEPTOS PENDIENTE DE LIQUIDAR","SIN VINC. LAB. CON CONC PEND POR LIQUIDAR","base.user_root","2019-06-25 23:54:04"
"__export__.planilla_situacion_4","3","base.user_root","2019-06-25 23:54:04","SUSPENSION PERFECTA DE LABORES","SUSPENSION PERFECTA DE LABORES","base.user_root","2019-06-25 23:54:04"
