"id","create_uid/id","create_date","gratificacion_fiesta_navidad/id","ingreso_predeterminado/id","write_uid/id","write_date","limites/id","remuneracion_extraordinaria_afecta/id","remuneracion_ordinaria_afecta/id","tasas/id","uits/id"
"__export__.planilla_quinta_categoria_1","base.user_root","2019-06-27 00:17:47","__export__.hr_salary_rule_404","__export__.planilla_inputs_nomina_17","base.user_root","2019-06-27 00:17:47","__export__.planilla_5ta_limites_1","__export__.hr_salary_rule_435","__export__.hr_salary_rule_434","__export__.planilla_5ta_tasas_1","__export__.planilla_5ta_uit_1"
"","","","","","","","__export__.planilla_5ta_limites_2","","","",""
"","","","","","","","__export__.planilla_5ta_limites_3","","","",""
"","","","","","","","__export__.planilla_5ta_limites_4","","","",""
"","","","","","","","","","","__export__.planilla_5ta_tasas_2",""
"","","","","","","","","","","__export__.planilla_5ta_tasas_3",""
"","","","","","","","","","","__export__.planilla_5ta_tasas_4",""
"","","","","","","","","","","__export__.planilla_5ta_tasas_5",""
