"id","com_fija","com_mix","create_uid/id","create_date","account_id/id","entidad","fondo","write_uid/id","write_date","prima_s","rem_ase"
"__export__.planilla_afiliacion_2","1.47","0.38","base.user_root","2019-06-25 23:56:25","__export__.account_account_1721","AFP HABITAT","10.0","base.user_root","2019-07-15 16:47:30","1.35","9526.35"
"__export__.planilla_afiliacion_3","1.55","0.9","base.user_root","2019-06-25 23:56:25","__export__.account_account_1719","AFP INTEGRA","10.0","base.user_root","2019-07-08 20:29:01","1.35","9526.35"
"__export__.planilla_afiliacion_4","1.6","0.18","base.user_root","2019-06-25 23:56:25","__export__.account_account_1718","AFP PRIMA","10.0","base.user_root","2019-07-08 20:29:17","1.35","9526.35"
"__export__.planilla_afiliacion_5","1.69","1.07","base.user_root","2019-06-25 23:56:25","__export__.account_account_1722","AFP PROFUTURO","10.0","base.user_root","2019-07-08 20:29:24","1.35","9526.35"
"__export__.planilla_afiliacion_6","0.0","0.0","base.user_root","2019-06-25 23:56:25","","ONP","13.0","base.user_root","2019-06-25 23:56:25","0.0","0.0"
"__export__.planilla_afiliacion_7","0.0","0.0","base.user_root","2019-06-25 23:56:25","","SIN REGIMEN","0.0","base.user_root","2019-06-25 23:56:25","0.0","0.0"
"__export__.planilla_afiliacion_13","1.69","1.07","base.user_root","2019-06-25 23:56:25","","JUB PROFUT TRANSITO","10.0","base.user_root","2019-06-25 23:56:25","0.0","9526.35"
