"id","codigo","create_uid/id","create_date","descripcion","write_uid/id","write_date","cuenta_analitica_lines/id"
"__export__.planilla_distribucion_analitica_1","DISTRIBUCION GENERAL","base.user_root","2019-07-02 22:20:19","","base.user_root","2019-07-15 16:59:42","__export__.planilla_distribucion_analitica_lines_1"
"","","","","","","","__export__.planilla_distribucion_analitica_lines_4"
"__export__.planilla_distribucion_analitica_2","CONTADOR","base.user_root","2019-07-15 17:02:34","","base.user_root","2019-07-15 17:02:34","__export__.planilla_distribucion_analitica_lines_5"
